serial,text,sentiment
59,"| originally bought this straightener back in November as a Christmas gift for my daughter. | accidentally knocked it off of the bathroom counter onto the floor last week and it
broke. | obviously had to buy a new one as not only was the drop my fault, but my daughter absolutely LOVES this straightener. Best she's ever used she says. She has very long,
thick hair (I have shorter hair, and not as thick--this straightener worked great on my hair as well). The plates are very nice on this straightener. | have owned two Chi's and |
would say not only is this flat iron just as good, | think it's even better. And | paid alot more for my Chis!
",positive
60,"had no reason to get a new straightener as my old one still worked, but it was a 2"" thick one, and | have cut my hair short (shoulder length) and | found it was a little too wide
for my new hair cut, so | wanted to get a 1"" as well. This had great reviews so | went for it!

Just to let you know where | am coming from... my old one is a cheap $25 one that | bought at Walmart and have been using for about 5 years. This is definitely an upgrade
from that. | don’t know that | have seen any improvement in my hair from using it, as some reviews claimed.
",positive
61,"Full disclosure, | haven't purchased a new hair straightener for the better half of a decade so take that into account with my review. I've been using my old one for years because
it still works.

| saw this come out on a really good sale and it had glowing reviews so | figured I'd try it out. WOW. The world of difference between this one and my old one is just mind
boggling.

| love that an oil treatment, heat resistant glove, and a storage bag are included with the straightener. The glove is an absolute game changer and | wish | had bought one years
ago! | am also blown away at how fast this straightens my hair which means less damage as I have to pass it over my hair shaft fewer times than my previous straightener. This
tackles my thick hair in less than 10 minutes, My hair is slightly longer than shoulder length currently and in comparison, my old straightener would take about 15 minutes and |
had to pass it over the same pieces of hair at least 2 or 3 times to get them straight. With the HSI straightener, it only takes 1 pass and occasionally 2 if | have a stubborn piece.
| am also so excited that this curls beautifully. My old straightener had wide paddles so | have to use a curling iron to curl my hair which meant that | basically had to heat
process my hair twice with the straightener and then the curling iron. This one creates very nice loose curls that work beautifully with my length of hair. Very impressed!
",positive
62,"ve had this straightener for a little over 2 years now, still just as good as day 1. Loveee it. Great quality too since I've dropped it (hard) more times than you can even imagine. If
this one ever breaks, I'm reordering it
",positive
63,"I needed to replace my old flat iron and decided on buying this one after reading many positive reviews about it on various blogs and I'm so glad that | did! I'm very satisfied
with the results. | have thick slightly wavy hair and always struggled with frizz but my hair is always super soft and sleek straight with no frizz whenever | use this flat iron. |
received many compliments from my co-workers about my hair when | first started straightening my hair with this.

I think the biggest selling point for this product is the tourmaline infused ceramic plates which is better at preventing heat damage as many claim...'m not sure if this claim is
really true but I have noticed a significant difference in that my hair doesn't seem to look damaged after using this flat iron compared to the ones I've used previously.
",positive
64,"Naturally curly to soft straight for 5 yrs and counting! This is such a great straightener that I had to buy it back to back. The first one lasted about 5 years, i definitely had to get
it again! After 2 more years with the new one, my hair is not damaged AT ALL and it has not killed my curls, My hair it’s naturally curly and when | straightened it with other
products it would fluff up after a couple of hours. With HSI it actually STAYS straight! | absolutely love it!
",positive
65,"I bought this iron back in 2016, and its 2022 now...the flat iron still going strong. I'm getting 2nd one now because my mom decide to keep it for herself, and she in Florida so |
will never get it back.

I've forgotten and left it on, and never had an issue. | think it turned off on its own... rarely leave a review unless its a BAD product. This Iron may not be fancy as other tools,
but I think its amazing to last this long and get the job done.
",positive
66,"I've used flatirons for a while. This was my first purchase from this brand. I'm keeping it as a back-up but it will not be my everyday styler. The spring on the irons is very strong
and | had to really squeeze to get it to hold tight to my hair (and | have long hair, so it’s very uncomfortable after a few minutes!) it also doesn’t seem to be efficient or as
effective as my old one, which I was replacing because it wasn’t as efficient anymore! It took three or more passes to truly flatten my long wavy (not curly) hair. In all, it will work
in my gym bag or desk drawer for styling emergencies. But | would not recommend it as your daily iron unless your hair can be flattened with lower heat and less sustained
pressure than I need.
",positive
67,"This is my first review on Amazon, because | really like this flat iron and want to express my opinion on it. It also comes with a free nice pouch and glove. | have tried a few drug-
store bought brands, but they always end up burning my hair. | have frizzy Asian hair especially after washing my hair, so i'm always on the lookout for a great flat iron, and at
the same time i'm not willing to pay more than $100. I've looked at other more expensive irons on Amazon, but end up choosing this one because of its value and reviews.
Although this particular iron does not have reviews for some reason, the other one with slightly different product (with bio silk sample) | believe sold by the same seller has
many great reviews. | wanted to try it on my own to test it out, and the end result is... | got silky smooth hair! | also tried to curl my hair with it, for the first time, so i did struggle
alittle with it, but once you get it, it gives you the curls that you want. | also used a heat guard to protect my hair as well before i use any iron or blow dryer. | also recommend
wearing a glove while using it since it can get extremely hot.
",positive
68,"This was my holy grail hair straightener. NOTHING straightened my 3c hair as easily and flawlessly as this tool. I've bought it twice for myself and have purchased it as a gift for
my best friend and sister. | have LOVED this tool.

But things have changed.
I have one straightener at home and one for the gym. I recently bought another just for travel so | wasn't constantly having to pack and unpack my hair tools, This newest

version purchased in September 2022 is NOT the same. The tool doesn't get as hot and, more annoyingly, the plates don’t connect tightly, meaning there's not as much tension
on my hair. Unfortunately, | took for granted that the flat iron would work as well as it always has and was left with frizzy hair at a conference.
",positive
69,"| would not recommend this flat iron for anyone who has a very tight curl pattern. | noticed that the iron does not flatten the ends of my hair well. The ends still stay fuzzy even
on the highest setting. You would be better off putting a little bit more money into a better flat iron. I think it was a waste of my money.
",positive
70,"I really like this....it is a bit larger than my last one but it is still a great product...and...the swivel cord makes it awesome! The glove is also nice for those who have a tendency to
touch the iro
Would definitely recommend.

 
",positive
71,"They sent me a red one, good color. | have only used it for maybe a month or or so, but so far so good.

| have not noticed any breakage in my hair it's slides through the hair nicely, and smoothes like it should. So as of now I can say that | am a happy consumer with the
replacement and the new management.

Back to 4 stars
Thank you for reaching out.
",positive
72,"I was excited to receive this hair iron. Unfortunately | am returning it as the controls are hard to see inside the handle and the temperature control is really iffy. | have no idea
what temperature it’s heated to. It's definitely not user friendly.
",negative
73,"I have thick, wavy hair and struggle with straighteners not getting hot enough. This straightener has been great- the adjustable temperature and lightweight design make this a
great product. Additionally, the quality is better compared to name brand high-end straighteners I've owned. | travel a lot and end up shoving it in my overstuffed backpack
where it is prone to a lot of shock and potential cord damage. This straightener has held up despite the ridiculous amount of wear and tear I've put it through. I can't say the
same for many other straighteners. This product is definitely worth the value and its performance is similar to much more expensive products.
",positive
74,"Purchased for my mother and was a little nervous being that it is sornething electrical but it works wonders. My mom specializes in natural hair styles and this added more flavor
to her craft! MUST BUY!
",positive
